"","salted_title","salted_id","Gender","Identity","IQ","MedDept","Success"
"1663","gjoxfDeadboltgjoxf","gjoxf1408gjoxf","Male","Secret",95,"20439",TRUE
"1664","gjoxfDavis (Mutant)gjoxf","gjoxf290074gjoxf","Male",NA,102,"13873",TRUE
"1665","gjoxfDe'zeangjoxf","gjoxf735078gjoxf","Male","No Dual",93,"75835",TRUE
"1666","gjoxfDeacongjoxf","gjoxf437932gjoxf","Male","Public",102,"96633",TRUE
"1667","gjoxfDavid Mitchellgjoxf","gjoxf2659gjoxf","Male","Secret",94,"96035",TRUE
"1668","gjoxfDavid Moreaugjoxf","gjoxf16450gjoxf","Male","Public",114,"75835",TRUE
"1669","gjoxfDead Shot (Masked Raider)gjoxf","gjoxf727089gjoxf","Male",NA,89,"75835",TRUE
"1670","gjoxfDavid Montgomerygjoxf","gjoxf500402gjoxf","Male","Public",103,"13873",TRUE
"1671","gjoxfDean Swayvrickgjoxf","gjoxf19309gjoxf","Male","Public",108,"39943",FALSE
"1672","gjoxfDee Milogjoxf","gjoxf9055gjoxf","Female","Public",101,"75835",TRUE
"1673","gjoxfDeb Lowrygjoxf","gjoxf248997gjoxf","Female",NA,109,"20398",TRUE
"1674","gjoxfDeborah Kinneygjoxf","gjoxf452772gjoxf","Female","Secret",98,"96633",TRUE
"1675","gjoxfDean Corlissgjoxf","gjoxf473745gjoxf","Male","No Dual",113,"20398",TRUE
"1676","gjoxfDeborah Summersgjoxf","gjoxf30008gjoxf","Female","Secret",79,"23483",TRUE
"1677","gjoxfDei Guangjoxf","gjoxf1878gjoxf","Male","Secret",108,"19550",TRUE
"1678","gjoxfDeHallegjoxf","gjoxf169312gjoxf","Female","Secret",103,"20439",TRUE
"1679","gjoxfDekogjoxf","gjoxf565896gjoxf","Male","Public",107,"75835",TRUE
"1680","gjoxfDeke (Clint Barton's neighbor)gjoxf","gjoxf692164gjoxf","Male","Public",104,"20398",FALSE
"1681","gjoxfDeborah Bertrandgjoxf","gjoxf12752gjoxf","Female","Secret",90,"50588",TRUE
"1682","gjoxfDeclan McGuinnessgjoxf","gjoxf739245gjoxf","Male","Secret",104,"50842",TRUE
"1683","gjoxfDeath Reapergjoxf","gjoxf273335gjoxf","Female","Secret",108,"50842",TRUE
"1684","gjoxfDeimosgjoxf","gjoxf47075gjoxf","Male",NA,95,"69331",TRUE
"1685","gjoxfDeborah & Donald Rittergjoxf","gjoxf45683gjoxf","Gestalt","Secret",89,"50842",TRUE
"1686","gjoxfDeath-Flame (Demon-Fire)gjoxf","gjoxf770464gjoxf","Male","Secret",96,"39943",TRUE
"1687","gjoxfDeath (11th Century)gjoxf","gjoxf687392gjoxf","Male","Secret",108,"24632",TRUE
"1688","gjoxfDebra Levingjoxf","gjoxf32484gjoxf","Female","Public",92,"74627",TRUE
"1689","gjoxfDeena Draysongjoxf","gjoxf481335gjoxf","Female","Public",91,"13873",TRUE
"1690","gjoxfDeidre Wentworth (Earth-11418)gjoxf","gjoxf468710gjoxf","Female","Secret",105,"69764",TRUE
"1691","gjoxfDebra Whitmangjoxf","gjoxf18638gjoxf","Female","No Dual",113,"75835",TRUE
"1692","gjoxfDeimnegjoxf","gjoxf264449gjoxf","Male",NA,105,"20398",TRUE
"1693","gjoxfDeborah Greengjoxf","gjoxf437789gjoxf","Female",NA,97,"50842",TRUE
"1694","gjoxfDean Prentissgjoxf","gjoxf755112gjoxf","Male","No Dual",87,"24632",FALSE
"1695","gjoxfDen Vakregjoxf","gjoxf431009gjoxf","Female","Secret",90,"11708",TRUE
"1696","gjoxfDelphisgjoxf","gjoxf43875gjoxf","Male","Secret",109,"50842",TRUE
"1697","gjoxfDelphi (Morlock)gjoxf","gjoxf280675gjoxf","Female","Secret",114,"96633",TRUE
"1698","gjoxfDelbert (Tantrum)gjoxf","gjoxf162754gjoxf","Male","Secret",96,"69764",TRUE
"1699","gjoxfDemon (Davey Drew Foe)gjoxf","gjoxf461628gjoxf","Male","Secret",116,"39943",TRUE
"1700","gjoxfDemetrosgjoxf","gjoxf410902gjoxf","Male",NA,117,"20398",FALSE
"1701","gjoxfDemeityrgjoxf","gjoxf24757gjoxf","Male","Public",120,"23483",TRUE
"1702","gjoxfDelphi (Pantheon)gjoxf","gjoxf86444gjoxf","Female","Secret",103,"11708",TRUE
"1703","gjoxfDenebo Aruc IIIgjoxf","gjoxf721917gjoxf","Male","Public",107,"50842",TRUE
"1704","gjoxfDella Masongjoxf","gjoxf535764gjoxf","Female","No Dual",116,"20398",TRUE
"1705","gjoxfDementia (Tia)gjoxf","gjoxf27535gjoxf","Female","Secret",108,"96633",TRUE
"1706","gjoxfDemarest Doddsgjoxf","gjoxf709775gjoxf","Male","Public",99,"23483",TRUE
"1707","gjoxfDelphiniagjoxf","gjoxf769024gjoxf","Female","No Dual",117,"76501",TRUE
"1708","gjoxfDemonicus (Mordo's Apprentice)gjoxf","gjoxf36936gjoxf","Male",NA,112,"86119",FALSE
"1709","gjoxfDelmuriogjoxf","gjoxf481580gjoxf","Male","Public",94,"24632",TRUE
"1710","gjoxfDelia Childressgjoxf","gjoxf745290gjoxf","Female","Public",107,"54589",FALSE
"1711","gjoxfDenhamgjoxf","gjoxf280823gjoxf","Male",NA,74,"69764",TRUE
"1712","gjoxfDelroy Garrett Jr.gjoxf","gjoxf2495gjoxf","Male","Secret",97,"20398",TRUE
"1713","gjoxfDemon from the Deepgjoxf","gjoxf589778gjoxf","Male","Secret",115,"96633",TRUE
"1714","gjoxfDempseygjoxf","gjoxf575956gjoxf","Male","Secret",95,"24632",TRUE
"1715","gjoxfDelphic (Legion Personality)gjoxf","gjoxf624296gjoxf","Female","Secret",79,"69764",TRUE
"1716","gjoxfDenise Havensgjoxf","gjoxf79794gjoxf","Female","Secret",95,"23483",TRUE
"1717","gjoxfDerek McDowellgjoxf","gjoxf632766gjoxf","Male","Public",102,"39943",TRUE
"1718","gjoxfDesolationgjoxf","gjoxf16379gjoxf","Female","Secret",113,"86119",TRUE
"1719","gjoxfDesmond Charnegjoxf","gjoxf2162gjoxf","Male","Public",109,"96633",TRUE
"1720","gjoxfDennis Kellardgjoxf","gjoxf120380gjoxf","Male","No Dual",130,"11708",TRUE
"1721","gjoxfDennis Hogangjoxf","gjoxf16502gjoxf","Male",NA,105,"54589",TRUE
"1722","gjoxfDervish (Spikes)gjoxf","gjoxf16402gjoxf","Female","Secret",93,"20439",TRUE
"1723","gjoxfDennis Wellsgjoxf","gjoxf528699gjoxf","Male",NA,115,"75835",TRUE
"1724","gjoxfDesinnagjoxf","gjoxf77220gjoxf","Female","Secret",99,"76501",TRUE
"1725","gjoxfDerek Khanatagjoxf","gjoxf25768gjoxf","Male","Public",101,"96035",TRUE
"1726","gjoxfDennis Malloygjoxf","gjoxf4320gjoxf","Male","Secret",92,"69764",TRUE
"1727","gjoxfDesmond Drewgjoxf","gjoxf1195gjoxf","Male","Secret",104,"23483",TRUE
"1728","gjoxfDesmond Klinegjoxf","gjoxf16068gjoxf","Male","Public",109,"73899",TRUE
"1729","gjoxfDennis Murraygjoxf","gjoxf68507gjoxf","Male","Public",106,"96035",TRUE
"1730","gjoxfDerek Freemangjoxf","gjoxf106942gjoxf","Male","No Dual",88,"75835",TRUE
"1731","gjoxfDenton Smithgjoxf","gjoxf718706gjoxf","Male","No Dual",81,"24632",TRUE
"1732","gjoxfDerrick Wainscroftgjoxf","gjoxf724392gjoxf","Male","Secret",97,"86119",TRUE
"1733","gjoxfDetective Fantômegjoxf","gjoxf42787gjoxf","Male","Secret",95,"73899",TRUE
"1734","gjoxfDerek Bishopgjoxf","gjoxf350267gjoxf","Male","Public",102,"54589",TRUE
"1735","gjoxfDesideragjoxf","gjoxf558091gjoxf","Female","No Dual",98,"75835",TRUE
"1736","gjoxfDerek Smallsgjoxf","gjoxf19590gjoxf","Male","Secret",102,"11708",TRUE
"1737","gjoxfDenny Drakegjoxf","gjoxf174964gjoxf","Male","Secret",105,"19550",TRUE
"1738","gjoxfDestiny Gonzalesgjoxf","gjoxf662245gjoxf","Female","Public",101,"20398",TRUE
"1739","gjoxfDephinegjoxf","gjoxf491297gjoxf","Female","Secret",88,"69331",TRUE
"1740","gjoxfDerek Petriegjoxf","gjoxf554994gjoxf","Male","Secret",92,"76501",TRUE
"1741","gjoxfDerath'athgjoxf","gjoxf18324gjoxf","Male",NA,110,"75835",TRUE
"1742","gjoxfDexter Parrishgjoxf","gjoxf16250gjoxf","Male",NA,95,"86119",TRUE
"1743","gjoxfDetlef Metzgergjoxf","gjoxf387821gjoxf","Male","No Dual",67,"75835",TRUE
"1744","gjoxfDevin Touhygjoxf","gjoxf339694gjoxf","Male","Secret",97,"54589",TRUE
"1745","gjoxfDeweygjoxf","gjoxf503255gjoxf","Male","Public",104,"39943",TRUE
"1746","gjoxfDevlin DeAngelogjoxf","gjoxf478087gjoxf","Male","Public",97,"96035",TRUE
"1747","gjoxfDharrgjoxf","gjoxf193986gjoxf","Male","No Dual",98,"19550",TRUE
"1748","gjoxfDevil Dinosaur (Skrull)gjoxf","gjoxf191511gjoxf","Male","Secret",98,"54589",TRUE
"1749","gjoxfDevon Alomargjoxf","gjoxf2634gjoxf","Male",NA,114,"50588",TRUE
"1750","gjoxfDherkgjoxf","gjoxf490652gjoxf","Male","Secret",96,"73899",TRUE
"1751","gjoxfDexter Quentingjoxf","gjoxf243082gjoxf","Male","Public",98,"96035",FALSE
"1752","gjoxfDevilgjoxf","gjoxf495142gjoxf","Male","Public",102,"24632",TRUE
"1753","gjoxfDevi Bannerjeegjoxf","gjoxf410482gjoxf","Female","Public",114,"69764",TRUE
"1754","gjoxfDezangjoxf","gjoxf86617gjoxf","Male","No Dual",107,"69764",TRUE
"1755","gjoxfDexter Bennettgjoxf","gjoxf107323gjoxf","Male","No Dual",104,"54589",TRUE
"1756","gjoxfDiablo (Bear)gjoxf","gjoxf338845gjoxf","Male","Public",87,"96035",TRUE
"1757","gjoxfDexter Raynegjoxf","gjoxf408357gjoxf","Male",NA,110,"19550",TRUE
"1758","gjoxfDevosgjoxf","gjoxf4060gjoxf","Male","Secret",98,"24632",TRUE
"1759","gjoxfDiana Lanfordgjoxf","gjoxf449390gjoxf","Female","Public",103,"74627",FALSE
"1760","gjoxfDiane Carsongjoxf","gjoxf437867gjoxf","Female","Public",87,"23483",TRUE
"1761","gjoxfDiana Knightgjoxf","gjoxf29849gjoxf","Female","Public",112,"69331",TRUE
"1762","gjoxfDetective Kurtzgjoxf","gjoxf657145gjoxf","Male","Public",103,"20398",TRUE
"1763","gjoxfDevil Riggjoxf","gjoxf245682gjoxf","Male","Secret",95,"74627",TRUE
"1764","gjoxfDieter Lehmanngjoxf","gjoxf751877gjoxf","Male","No Dual",93,"75835",TRUE
"1765","gjoxfDick Chalkergjoxf","gjoxf16312gjoxf","Male","Secret",104,"69331",FALSE
"1766","gjoxfDianne Bellamygjoxf","gjoxf680812gjoxf","Female","No Dual",81,"74627",TRUE
"1767","gjoxfDiane Davidsgjoxf","gjoxf65391gjoxf","Female","Secret",89,"96035",TRUE
"1768","gjoxfDiego Casseasgjoxf","gjoxf13245gjoxf","Male","Secret",99,"23483",TRUE
"1769","gjoxfDinah Soargjoxf","gjoxf9147gjoxf","Female","Secret",102,"69331",TRUE
"1770","gjoxfDionysus (Eternal)gjoxf","gjoxf703400gjoxf","Male",NA,95,"96633",TRUE
"1771","gjoxfDimitriosgjoxf","gjoxf635246gjoxf","Male","No Dual",115,"75835",TRUE
"1772","gjoxfDimitri Fortunovgjoxf","gjoxf342198gjoxf","Male","Public",88,"20439",TRUE
"1773","gjoxfDirector of Deathgjoxf","gjoxf493327gjoxf","Male","Public",85,"19550",TRUE
"1774","gjoxfDimitri Bukharingjoxf","gjoxf3816gjoxf","Male","Secret",103,"76501",TRUE
"1775","gjoxfDiego Ardillesgjoxf","gjoxf386710gjoxf","Male",NA,113,"74627",TRUE
"1776","gjoxfDionegjoxf","gjoxf434782gjoxf","Female",NA,94,"20398",TRUE
"1777","gjoxfDiomedesgjoxf","gjoxf430267gjoxf","Male",NA,93,"73899",TRUE
"1778","gjoxfDionysus Acratophorusgjoxf","gjoxf15686gjoxf","Male","Secret",110,"96035",TRUE
"1779","gjoxfDianna Ferrulegjoxf","gjoxf486006gjoxf","Female","Public",93,"50588",TRUE
"1780","gjoxfDirge (Warwear User)gjoxf","gjoxf41962gjoxf","Male",NA,104,"69764",TRUE
"1781","gjoxfDifference Enginegjoxf","gjoxf267056gjoxf","Male","Public",113,"39943",FALSE
"1782","gjoxfDirge (Lost Souls)gjoxf","gjoxf41963gjoxf","Male","Secret",123,"76501",TRUE
"1783","gjoxfDiavologjoxf","gjoxf683913gjoxf","Male","Secret",101,"96035",TRUE
"1784","gjoxfDigger (Vegas Thirteen)gjoxf","gjoxf12753gjoxf","Male","Public",101,"13873",TRUE
"1785","gjoxfDibdebgjoxf","gjoxf507753gjoxf","Male","No Dual",103,"20439",TRUE
"1786","gjoxfDima Alekov Kaganitzkygjoxf","gjoxf653779gjoxf","Male","Secret",98,"20439",FALSE
"1787","gjoxfDiego Manerogjoxf","gjoxf487839gjoxf","Male","Public",101,"50842",TRUE
"1788","gjoxfDimitri Smirkovgjoxf","gjoxf752243gjoxf","Male","Secret",81,"76501",TRUE
"1789","gjoxfDmitri Petrovichgjoxf","gjoxf522987gjoxf","Male","Public",106,"11708",TRUE
"1790","gjoxfDmitri Ivankovgjoxf","gjoxf241839gjoxf","Male","Public",105,"69764",TRUE
"1791","gjoxfDoctor Dillgjoxf","gjoxf552592gjoxf","Male","Public",80,"39943",TRUE
"1792","gjoxfDoctor Demisegjoxf","gjoxf536141gjoxf","Female","Public",96,"20398",TRUE
"1793","gjoxfDoctor Eternitygjoxf","gjoxf484139gjoxf","Male","Secret",110,"86119",TRUE
"1794","gjoxfDisha Khangjoxf","gjoxf691934gjoxf","Female","Public",85,"96633",TRUE
"1795","gjoxfDitmal Pirvatgjoxf","gjoxf683381gjoxf","Male","Secret",101,"23483",FALSE
"1796","gjoxfDoc (Guardsman)gjoxf","gjoxf519269gjoxf","Male",NA,107,"69764",TRUE
"1797","gjoxfDoctor Howardgjoxf","gjoxf468107gjoxf","Male","Secret",113,"11708",TRUE
"1798","gjoxfDoctor Snodgrassgjoxf","gjoxf285189gjoxf","Female","Public",100,"54589",TRUE
"1799","gjoxfDoctor Mohangjoxf","gjoxf762368gjoxf","Female","No Dual",100,"69764",TRUE
"1800","gjoxfDoctor Nocgjoxf","gjoxf388664gjoxf","Male","Secret",101,"23483",TRUE
"1801","gjoxfDoctor Togugjoxf","gjoxf474722gjoxf","Male","Public",91,"73899",TRUE
"1802","gjoxfDoctor Ogadagjoxf","gjoxf79519gjoxf","Male","Secret",115,"86119",TRUE
"1803","gjoxfDoctor Kettlewellgjoxf","gjoxf684264gjoxf","Male",NA,97,"50588",TRUE
"1804","gjoxfDoctor Suki (II)gjoxf","gjoxf490957gjoxf","Male","Public",99,"19550",FALSE
"1805","gjoxfDoctor Markovgjoxf","gjoxf623732gjoxf","Male","Public",108,"13873",TRUE
"1806","gjoxfDoctor Stackgjoxf","gjoxf329429gjoxf","Male","No Dual",106,"74627",TRUE
"1807","gjoxfDoctor Lockegjoxf","gjoxf631633gjoxf","Male","Secret",75,"73899",TRUE
"1808","gjoxfDoctor Mimegjoxf","gjoxf17990gjoxf","Male","Secret",105,"11708",TRUE
"1809","gjoxfDoctor Karlbadgjoxf","gjoxf247919gjoxf","Male","Public",97,"74627",TRUE
"1810","gjoxfDoctor Sungjoxf","gjoxf1457gjoxf","Male","Secret",72,"75835",TRUE
"1811","gjoxfDoctor Lingjoxf","gjoxf451548gjoxf","Male","Public",86,"11708",TRUE
"1812","gjoxfDoctor Narrgjoxf","gjoxf447806gjoxf","Male",NA,111,"96633",TRUE
"1813","gjoxfDoctor Janssengjoxf","gjoxf682208gjoxf","Female","Public",84,"74627",TRUE
"1814","gjoxfDoctor Sukigjoxf","gjoxf484650gjoxf","Male","Public",90,"96035",TRUE
"1815","gjoxfDoctor Strassergjoxf","gjoxf471060gjoxf","Male","Public",95,"50588",TRUE
"1816","gjoxfDoctor Leerygjoxf","gjoxf28304gjoxf","Male","Secret",89,"75835",TRUE
"1817","gjoxfDoctor Throttlegjoxf","gjoxf508429gjoxf","Male","Secret",113,"69764",TRUE
"1818","gjoxfDoctor Krontongjoxf","gjoxf30794gjoxf","Male","Secret",91,"73899",TRUE
"1819","gjoxfDoctor Satangjoxf","gjoxf684064gjoxf","Male","Secret",101,"23483",TRUE
"1820","gjoxfDoctor Hydegjoxf","gjoxf458819gjoxf","Male","Public",109,"39943",TRUE
"1821","gjoxfDon Jose Del Iturbidegjoxf","gjoxf595338gjoxf","Male","Secret",104,"19550",TRUE
"1822","gjoxfDominigjoxf","gjoxf2649gjoxf","Female","Secret",100,"75835",TRUE
"1823","gjoxfDon Heckgjoxf","gjoxf690541gjoxf","Male","Public",114,"19550",TRUE
"1824","gjoxfDoka (Snakeroot)gjoxf","gjoxf300608gjoxf","Male","Secret",80,"50588",TRUE
"1825","gjoxfDolph Dongengjoxf","gjoxf68902gjoxf","Male",NA,100,"73899",FALSE
"1826","gjoxfDon (Scuba)gjoxf","gjoxf489765gjoxf","Male",NA,77,"39943",TRUE
"1827","gjoxfDon Remminggjoxf","gjoxf83213gjoxf","Male","Secret",109,"20439",TRUE
"1828","gjoxfDon Parisigjoxf","gjoxf21498gjoxf","Male","No Dual",98,"50588",TRUE
"1829","gjoxfDog Logangjoxf","gjoxf18306gjoxf","Male","No Dual",90,"50588",FALSE
"1830","gjoxfDoctor Watsongjoxf","gjoxf441707gjoxf","Male","Public",93,"86119",TRUE
"1831","gjoxfDoctor Weirdgjoxf","gjoxf744266gjoxf","Male","Secret",104,"20398",TRUE
"1832","gjoxfDoctor Van Eyckgjoxf","gjoxf272116gjoxf","Male",NA,93,"69764",TRUE
"1833","gjoxfDon Russellgjoxf","gjoxf398972gjoxf","Male","Secret",118,"96633",TRUE
"1834","gjoxfDominic Dunsinanegjoxf","gjoxf12756gjoxf","Male","Secret",99,"13873",TRUE
"1835","gjoxfDon Caldwellgjoxf","gjoxf19643gjoxf","Male","Secret",94,"24632",TRUE
"1836","gjoxfDoctor Weismangjoxf","gjoxf340331gjoxf","Female",NA,100,"20439",TRUE
"1837","gjoxfDon Hertzgjoxf","gjoxf16191gjoxf","Male","Secret",102,"13873",TRUE
"1838","gjoxfDolores Downinggjoxf","gjoxf486433gjoxf","Female","No Dual",93,"50842",TRUE
"1839","gjoxfDolly Donohuegjoxf","gjoxf44167gjoxf","Female","Public",100,"69331",TRUE
"1840","gjoxfDominagjoxf","gjoxf1458gjoxf","Female","Secret",107,"20439",TRUE
"1841","gjoxfDoctor von Helstoggjoxf","gjoxf505123gjoxf","Male","Public",84,"11708",FALSE
"1842","gjoxfDominique Levantgjoxf","gjoxf748988gjoxf","Male",NA,86,"20439",TRUE
"1843","gjoxfDon Reinmangjoxf","gjoxf466541gjoxf","Male","Secret",94,"13873",TRUE
"1844","gjoxfDomitiangjoxf","gjoxf663040gjoxf","Male","Secret",101,"20398",TRUE
"1845","gjoxfDoomsman IIgjoxf","gjoxf15959gjoxf","Male","Public",112,"73899",TRUE
"1846","gjoxfDonna Blissgjoxf","gjoxf25512gjoxf","Female","Secret",105,"75835",TRUE
"1847","gjoxfDonald Samplegjoxf","gjoxf560174gjoxf","Male","Public",112,"19550",TRUE
"1848","gjoxfDondi Reesegjoxf","gjoxf676139gjoxf","Female","Public",107,"74627",TRUE
"1849","gjoxfDoris (Inhuman)gjoxf","gjoxf685335gjoxf","Female","No Dual",102,"73899",TRUE
"1850","gjoxfDonna Strangegjoxf","gjoxf408867gjoxf","Female","No Dual",81,"74627",TRUE
"1851","gjoxfDonald Gillgjoxf","gjoxf1214gjoxf","Male","Public",106,"69331",TRUE
"1852","gjoxfDonna Kielgjoxf","gjoxf466571gjoxf","Female","No Dual",101,"19550",TRUE
"1853","gjoxfDonald Piercegjoxf","gjoxf1776gjoxf","Male","Secret",90,"50588",TRUE
"1854","gjoxfDonald Smithfieldgjoxf","gjoxf525873gjoxf","Male","Public",89,"54589",TRUE
"1855","gjoxfDonald Callahangjoxf","gjoxf250134gjoxf","Male","Secret",90,"69331",TRUE
"1856","gjoxfDonyell Taylorgjoxf","gjoxf5834gjoxf","Male","Secret",96,"74627",TRUE
"1857","gjoxfDontrell Hamiltongjoxf","gjoxf27844gjoxf","Male","Secret",99,"13873",TRUE
"1858","gjoxfDon Thomasgjoxf","gjoxf1223gjoxf","Male","Secret",120,"50588",TRUE
"1859","gjoxfDoombot (Avenger)gjoxf","gjoxf635523gjoxf","Male","Public",104,"50588",FALSE
"1860","gjoxfDorian (Punk Kid)gjoxf","gjoxf642325gjoxf","Male","Public",92,"73899",TRUE
"1861","gjoxfDong Parksgjoxf","gjoxf771955gjoxf","Male","No Dual",115,"19550",FALSE
"1862","gjoxfDoomsday Mangjoxf","gjoxf4117gjoxf","Male","Secret",91,"75835",TRUE
"1863","gjoxfDonald Clendenongjoxf","gjoxf4329gjoxf","Male","Secret",103,"20398",TRUE
"1864","gjoxfDonald Blakegjoxf","gjoxf194870gjoxf","Male","No Dual",102,"11708",TRUE
"1865","gjoxfDorian Murdstonegjoxf","gjoxf250126gjoxf","Male","Public",98,"76501",TRUE
"1866","gjoxfDoris Pymgjoxf","gjoxf635546gjoxf","Female","Public",86,"86119",TRUE
"1867","gjoxfDonald Lamazegjoxf","gjoxf627380gjoxf","Male","No Dual",97,"96633",TRUE
"1868","gjoxfDr. Bobgjoxf","gjoxf483672gjoxf","Male","Public",85,"69764",TRUE
"1869","gjoxfDoyle Dentongjoxf","gjoxf282530gjoxf","Male","Secret",86,"11708",TRUE
"1870","gjoxfDoug Powellgjoxf","gjoxf437753gjoxf","Male",NA,102,"96633",TRUE
"1871","gjoxfDragogjoxf","gjoxf601574gjoxf","Male","Public",88,"50842",TRUE
"1872","gjoxfDouglas Ramseygjoxf","gjoxf1386gjoxf","Male","Secret",111,"54589",TRUE
"1873","gjoxfDoug and Jerrygjoxf","gjoxf42366gjoxf","Male","Secret",101,"20398",TRUE
"1874","gjoxfDr'zztgjoxf","gjoxf745940gjoxf","Male","Secret",114,"74627",TRUE
"1875","gjoxfDorma (Heroes Reborn)gjoxf","gjoxf101384gjoxf","Female",NA,95,"19550",TRUE
"1876","gjoxfDorothy Cardozagjoxf","gjoxf248931gjoxf","Female","Secret",105,"39943",TRUE
"1877","gjoxfDotty Bensongjoxf","gjoxf708968gjoxf","Female","Public",79,"20398",TRUE
"1878","gjoxfDouglas Scottgjoxf","gjoxf5417gjoxf","Male","Secret",88,"11708",TRUE
"1879","gjoxfDormousegjoxf","gjoxf14726gjoxf","Male",NA,106,"50588",TRUE
"1880","gjoxfDr. Lang (The Big Boss)gjoxf","gjoxf642926gjoxf","Male","Secret",99,"19550",TRUE
"1881","gjoxfDorma (Clones)gjoxf","gjoxf289630gjoxf","Female","Secret",110,"86119",TRUE
"1882","gjoxfDouglas Carmodygjoxf","gjoxf3931gjoxf","Male","Public",88,"73899",TRUE
"1883","gjoxfDouglas Rockwellgjoxf","gjoxf529971gjoxf","Male",NA,84,"96035",TRUE
"1884","gjoxfDragon (Legion Street Gang)gjoxf","gjoxf36143gjoxf","Female",NA,95,"24632",TRUE
"1885","gjoxfDoris Urichgjoxf","gjoxf18717gjoxf","Female","No Dual",103,"11708",TRUE
"1886","gjoxfDr. Molinarigjoxf","gjoxf604882gjoxf","Male",NA,99,"96633",TRUE
"1887","gjoxfDouglas MacArthurgjoxf","gjoxf471132gjoxf","Male","Public",121,"69331",TRUE
"1888","gjoxfDoug (A.I.M.)gjoxf","gjoxf706350gjoxf","Male","Secret",95,"23483",TRUE
"1889","gjoxfDovegjoxf","gjoxf756515gjoxf","Female","No Dual",102,"86119",FALSE
"1890","gjoxfDorothy Alleynegjoxf","gjoxf463095gjoxf","Female","Secret",105,"69331",TRUE
"1891","gjoxfDouble-Beardgjoxf","gjoxf489370gjoxf","Male","Secret",116,"73899",TRUE
"1892","gjoxfDragonusgjoxf","gjoxf301368gjoxf","Male",NA,106,"96035",TRUE
"1893","gjoxfDrake Maluskigjoxf","gjoxf448475gjoxf","Male","Secret",89,"75835",TRUE
"1894","gjoxfDragorrgjoxf","gjoxf244532gjoxf","Male","Secret",89,"75835",TRUE
"1895","gjoxfDragoongjoxf","gjoxf584647gjoxf","Male","No Dual",94,"76501",TRUE
"1896","gjoxfDromgjoxf","gjoxf4128gjoxf","Male","Secret",101,"86119",TRUE
"1897","gjoxfDrake Shannongjoxf","gjoxf2732gjoxf","Male","Secret",97,"86119",TRUE
"1898","gjoxfDream Mastergjoxf","gjoxf555651gjoxf","Male","Secret",112,"86119",FALSE
"1899","gjoxfDraysongjoxf","gjoxf639362gjoxf","Female","No Dual",103,"39943",TRUE
"1900","gjoxfDreadfacegjoxf","gjoxf4061gjoxf","Male","Secret",96,"54589",TRUE
"1901","gjoxfDrivegjoxf","gjoxf699579gjoxf","Male","Secret",99,"75835",TRUE
"1902","gjoxfDreyfus Gultchgjoxf","gjoxf752182gjoxf","Male","No Dual",105,"54589",TRUE
"1903","gjoxfDramgjoxf","gjoxf452176gjoxf","Male","Public",118,"54589",TRUE
"1904","gjoxfDreadgjoxf","gjoxf338202gjoxf","Male","Secret",101,"24632",TRUE
"1905","gjoxfDragoomgjoxf","gjoxf558018gjoxf","Male",NA,100,"19550",TRUE
"1906","gjoxfDrexel Cordgjoxf","gjoxf18857gjoxf","Male","No Dual",101,"75835",TRUE
"1907","gjoxfDrew Geracigjoxf","gjoxf437639gjoxf","Male",NA,74,"13873",TRUE
"1908","gjoxfDruek Lovosnogjoxf","gjoxf682477gjoxf","Male","Public",119,"50588",TRUE
"1909","gjoxfDranggjoxf","gjoxf501059gjoxf","Male","Secret",103,"39943",TRUE
"1910","gjoxfDredmund Cromwellgjoxf","gjoxf4133gjoxf","Male","Public",105,"76501",FALSE
"1911","gjoxfDrexel (Legion Personality)gjoxf","gjoxf707623gjoxf","Male","No Dual",100,"20398",TRUE
"1912","gjoxfDragonagjoxf","gjoxf1477gjoxf","Female","Secret",98,"24632",TRUE
"1913","gjoxfDucharmegjoxf","gjoxf340339gjoxf","Female","Secret",102,"20398",TRUE
"1914","gjoxfDuvid Fortunovgjoxf","gjoxf1459gjoxf","Male","Public",89,"11708",TRUE
"1915","gjoxfDuke Mannerygjoxf","gjoxf57051gjoxf","Male","Secret",113,"20398",TRUE
"1916","gjoxfDwight Farongjoxf","gjoxf26798gjoxf","Male","Public",79,"69764",TRUE
"1917","gjoxfDurango the Killergjoxf","gjoxf541103gjoxf","Male","Public",94,"11708",TRUE
"1918","gjoxfDutch Hansengjoxf","gjoxf642226gjoxf","Male","No Dual",104,"86119",TRUE
"1919","gjoxfDrusillagjoxf","gjoxf566845gjoxf","Female","Public",101,"20439",TRUE
"1920","gjoxfDulpusgjoxf","gjoxf492609gjoxf","Male","Secret",107,"86119",TRUE
"1921","gjoxfDwaine Hessgjoxf","gjoxf564785gjoxf","Male","Secret",93,"19550",TRUE
"1922","gjoxfDuPreygjoxf","gjoxf653558gjoxf","Male","Secret",105,"75835",TRUE
"1923","gjoxfDubose Wilsongjoxf","gjoxf32514gjoxf","Male",NA,95,"74627",TRUE
"1924","gjoxfDurokgjoxf","gjoxf46703gjoxf","Male",NA,115,"73899",FALSE
"1925","gjoxfDylan Masongjoxf","gjoxf713957gjoxf","Male","No Dual",82,"69764",TRUE
"1926","gjoxfDwarfgjoxf","gjoxf19601gjoxf","Male","Secret",94,"75835",TRUE
"1927","gjoxfDwight Stanfordgjoxf","gjoxf611881gjoxf","Male","Public",96,"50842",TRUE
